id,name,brunch,lat,lngs
a3c5d7ff-9656-4f04-b3a1-5f73556185ed,Щёлковская,3,55.8103333,37.8020102
b5b4d243-3942-4a6a-b13b-2b2db0869b05,Кунцевская,4,55.7312303,37.4471314
03795dd1-a51c-48b7-9a49-6f39dd5a8803,Пионерская,4,55.7365771,37.4675189
cd7821d2-fdc0-4ee1-9f65-ba0fd2477f92,Филёвский парк,4,55.7408087,37.4824656
80499d45-94dd-485c-a6b8-33894a2ef823,Багратионовская,4,55.7430682,37.4986144
f916c463-d1ab-4a90-a9ab-a8066c5c0d3c,Фили,4,55.7468803,37.5144437
bbed6d01-d7ab-4ba2-b4f9-8c1117f2cd4d,Кутузовская,4,55.739669,37.5342963
8ddb5034-e1a1-4483-ad54-61a0682e29b4,Выставочная,41,55.7524111,37.5411048
fbf1b408-9ae4-4fee-8c06-a4e6fc8521c1,Смоленская,4,55.7488802,37.5830392
564f7b29-01ff-4611-a038-582e12f174ac,Парк культуры,5,55.7358318,37.5925395
70c43d8c-8c7a-4329-b11e-6ab2d809df93,Октябрьская,5,55.7251052,37.6112804
4fef7d90-e02a-4c1e-9e17-514ee4476a61,Добрынинская,5,55.729549,37.6247953
5c461b77-111b-40fe-b22c-ac52e3a2ee55,Павелецкая,5,55.7306598,37.6351383
0f1e24b2-3d0c-4f1a-ae70-bac58a3ad988,Таганская,5,55.7421897,37.6524565
8134455d-9160-497f-96a4-a7d70109cfd2,Курская,5,55.7588462,37.6580446
2e53cebc-a599-4c3d-af31-ce25aacb926d,Комсомольская,5,55.7752992,37.6570857
cef5c390-c440-4e82-a379-7fa52eb90f4d,Проспект Мира,5,55.7817622,37.6340953
ab89cef2-1916-44d2-a957-339723b2d077,Новослободская,5,55.7799775,37.6021809
1d16a4f7-ae0e-4bda-a10d-cb1bb5194808,Белорусская,5,55.777269,37.5866104
69d7a299-5e62-43ed-9ca7-11c2d6f52e48,Краснопресненская,5,55.7590877,37.5779288
191503e0-9d82-49e7-a3a2-7522d3899151,Медведково,6,55.8872098,37.6616883
b030aff9-a5a8-48e0-850d-536fa3058b96,Бабушкинская,6,55.86820575,37.66342632588914
4582c9e1-c0b6-4d5f-8978-82fb7623e3d3,Свиблово,6,55.8558475,37.6536816
e1dac769-99c4-4ae9-a130-4747a928ef63,Ботанический сад,6,55.8463738,37.6381879
3af30f4c-9c4e-4df9-9228-1d9f0adc736f,ВДНХ,6,55.8211375,37.640787
07e35fbb-dbe1-46fc-a18a-aaee80eff56e,Алексеевская,6,55.8088646,37.6377033
06d83fe3-785f-4ca5-8188-eb4fbba4046d,Рижская,6,55.7696334,37.636118
2bfff43d-aeed-4a0d-96f2-f6d407ed28b2,Проспект Мира,6,55.7817622,37.6340953
9192cd2d-f0e6-405d-b084-c5b0f2141e6b,Сухаревская,6,55.77244,37.6333538
1a91469b-67b6-48c2-ba6c-888712c2d9dd,Китай-город,6,55.7540833,37.6346455
bb326300-6c18-488e-a3ad-191c39a77f36,Третьяковская,6,55.7403863,37.6297282
d6990d62-c171-453c-878f-fa5f6aa8be59,Октябрьская,6,55.7251052,37.6112804
ff633909-e368-4e7d-9ee0-a944e44b6705,Шаболовская,6,55.718694,37.6090185
c4cc74dd-6b16-4936-96bd-bbe949296310,Ленинский проспект,6,55.7115287,37.5870552
5c482fa1-058c-4a26-9321-015cf361bff3,Академическая,6,55.6892809,37.5744787
8d34e455-2d45-41a7-8748-1099cfb9352a,Профсоюзная,6,55.6772937,37.5655295
d3b673cd-ede6-4979-95a5-64483abc2a49,Новые Черёмушки,6,55.6686438,37.5553299
6a95f939-ec48-4cb7-b99d-8b1c22792ac2,Калужская,6,55.6557329,37.5431158
4ab00396-bc39-4389-83c0-b199d1a6e521,Беляево,6,55.6438669,37.5234474
6b28ad7f-83eb-4b72-9dab-ee5d2dd02be1,Коньково,6,55.6346546,37.518469
1af33a97-dc71-4551-9794-c7c0995eaf05,Тёплый Стан,6,55.6206404,37.5061262
6c0bce86-5b6f-4ed5-8bd5-23dfff16a7c8,Ясенево,6,55.6055625,37.535975
db3f82f4-415b-478d-917d-f0efd5ce8358,Новоясеневская,6,55.6016686,37.5526473
588a4284-1048-4242-8f9d-5ab1c0191075,Планерная,7,55.8632377,37.4348715
6ab4b6da-19f5-4145-9e3a-2fad7e375096,Сходненская,7,55.8519131,37.4389829
31c8fb51-d16c-4d59-8dcd-320afb512103,Тушинская,7,55.82417,37.4336232
fe117ab1-1c6c-4a0e-9fa4-2b82e4fb6c7d,Щукинская,7,55.8101192,37.4613596
f961c2c5-2562-4088-8f84-a43743a7372c,Октябрьское Поле,7,55.793009,37.4921377
e693816a-6d8c-4eb1-9af4-4ef3d26c9933,Полежаевская,7,55.7775394,37.5159227
01d03771-8d0e-4cea-90bd-3306164ecf16,Беговая,7,55.774453,37.5449525
04ca8833-aed1-4472-8d2d-3a8130f2cf4c,Улица 1905 года,7,55.7667322,37.5597564
e81af75f-3b18-4c69-ac8e-c7f414be8fd3,Баррикадная,7,55.7619156,37.579475
ad21cf9a-7214-4fed-a2a0-378cbba1178b,Китай-город,7,55.7540833,37.6346455
4a40fbf4-4e82-45a2-8def-543809f82037,Таганская,7,55.7421897,37.6524565
a41f16da-f74c-42b4-8bf5-e1f7773566db,Пролетарская,7,55.7313511,37.663530553238004
624786f8-1fb3-4aa0-a1a0-0eb51b9dad12,Волгоградский проспект,7,55.7242816,37.6865716
832abfe0-b373-4ac2-bf98-b13fafd98d12,Текстильщики,7,55.7072937,37.7273361
e46c8e90-e890-440a-ad53-973953bdab8c,Кузьминки,7,55.7058586,37.7635166
0f5fc410-0931-481b-a275-54e48713e355,Рязанский проспект,7,55.7170293,37.7937683
9df02ded-81cc-4abd-a3da-4da6ad4dc148,Выхино,7,55.7155013,37.8181337
2372bafd-7782-4b59-8c0c-fa7d5011e59d,Лермонтовский проспект,7,55.7021722,37.8509417
10654293-acfc-458b-99ce-bebc6218807a,Жулебино,7,55.6851041,37.8538122
14ca88b7-ad0d-42fd-aeac-c0ce9c107ddb,Котельники,7,55.6772044,37.8570984
ca0db43a-dec9-4bf6-9cc8-c9277239f6aa,Третьяковская,8,55.7403863,37.6297282
e272bcbf-b1e1-4551-9ed0-44aefcaf063f,Марксистская,8,55.7410599,37.6563909
9d4c8760-0474-4970-8325-ed610c82d57c,Площадь Ильича,8,55.7468873,37.6786871
83373243-f3f6-49de-9644-dd2705b890ab,Авиамоторная,8,55.7523273,37.7203255
0dc5c47d-bdc8-4ad1-a908-41dcfbc53875,Шоссе Энтузиастов,8,55.7578254,37.7520917
c7ba36b4-307c-43de-a842-85d377015f7a,Перово,8,55.7502189,37.7849332
c57ac0d3-bdc3-4312-9f51-429b0868e3b8,Новогиреево,8,55.751362,37.818264
13537b17-6186-4f23-aa8e-ead3cf454f8d,Новокосино,8,55.7446351,37.8634121
026c5fc3-e29a-49e2-ae7f-80641fd7ef04,Рассказовка,81,55.6341007,37.3361939
e4334098-96d2-4732-8359-0ad405ed1199,Новопеределкино,81,55.639323,37.355157
32fdb1eb-ae6f-4370-b98f-190cdbd2cda8,Боровское шоссе,81,55.6471491,37.3680677
c97253ca-9be2-44ac-a98a-d1074b1c6b3b,Солнцево,81,55.6493214,37.3910828
1289d8bd-8011-412e-9188-b7ae6200a369,Говорово,81,55.660714,37.4175929
4cca7bed-c9a7-4dfc-939b-d6663aba388f,Озёрная,81,55.6704692,37.4523752
3d9d7fae-c192-4d20-b980-a6941b2e50b5,Мичуринский проспект,81,55.6887495,37.4821084
c3abd9ea-1b0b-4170-b4ba-8a0c63b76f3d,Раменки,81,55.6959175,37.496185
d87ca7cb-1f5d-400b-9069-4619a0c0748d,Ломоносовский проспект,81,55.7058871,37.5149469
dbdf30ee-56b6-4b08-a91b-74865b96bf3c,Минская,81,55.7237174,37.4974962
d43caff5-93e6-4286-8568-61348e3c8a6d,Парк Победы,81,55.7362647,37.519389
942adbcd-2b5e-45f5-b580-b6e501808732,Алтуфьево,9,55.8974205,37.5877884
f70efea3-6d79-4958-b6b5-bcbcadd5ffe3,Бибирево,9,55.8837345,37.6050562
3acf02c1-7da4-4343-9473-40a08aa76af1,Отрадное,9,55.8644143,37.6043267
196cccf2-699e-4848-9d26-da0e9cdac6e7,Владыкино,9,55.848926,37.5895296
539696a1-b9c4-41a4-a161-2061fbca3713,Петровско-Разумовская,9,55.8340032,37.5724979
45a511ac-8961-4c49-beef-261632887afe,Тимирязевская,9,55.8184418,37.5809098
0aa54182-d85c-4517-9d32-ed79a0564d96,Дмитровская,9,55.8088822,37.5768699
40dcfcf2-14fd-4fd8-ad73-d1a21039798a,Менделеевская,9,55.7820164,37.6016574
51b62886-2c90-402e-9f00-85b91d89df32,Цветной бульвар,9,55.7706419,37.6223819
0adf34ee-e3ed-4b31-a451-1b16e20d8285,Чеховская,9,55.7658919,37.6086031
6ec4f627-5c24-4fae-8c4e-35dbad302646,Полянка,9,55.7358206,37.6193924
50d5aaf7-58dd-44d3-b879-53234116ec9f,Серпуховская,9,55.7271698,37.6252313
e4b36527-4783-4926-a83d-cad2fa39c170,Тульская,9,55.7104217,37.6215313
ec51448b-9e2d-4a09-99f9-2ff46c1ab2dd,Нагатинская,9,55.6838718,37.6238575
ec75bbb7-3087-41af-b098-e988f5fc189d,Нагорная,9,55.6721497,37.6091888
30688a4d-d04e-4586-b48a-8b988072d43f,Нахимовский проспект,9,55.6639033,37.6079931
1644f339-af82-4f7b-a367-fd9e8f31102a,Севастопольская,9,55.6509547,37.5983162
8b2e6b74-224c-4cf4-94e1-fac0118d82a2,Чертановская,9,55.6403503,37.605689
2a7698fd-8cf8-4fd1-b032-82fbf25ba16c,Южная,9,55.623425,37.607739
2e960db0-9d50-40fe-a653-d17bd0978418,Пражская,9,55.6114309,37.6018674
bf4a5ce5-fa96-4a04-9ecc-157eea674cd8,Улица Академика Янгеля,9,55.5950594,37.5993858
7f5882ed-6eba-4822-abb6-d86fa26967cb,Аннино,9,55.5848055,37.59685
3e29b82e-e0df-4b31-b358-5c755ba436aa,Бульвар Дмитрия Донского,9,55.5705099,37.5773481
aaac94a5-d1b4-44b8-abd9-39b4d7f616d1,Селигерская,10,55.8654944,37.5448722
9203cbdb-f828-4b1a-ab1a-880db09cae48,Верхние Лихоборы,10,55.8581327,37.5593082
eaba76de-2780-4b81-b66e-71a36b251396,Окружная,10,55.8443213,37.5760757
3c435adb-63fd-48a9-ab97-f2a04d097f7a,Петровско-Разумовская,10,55.8340032,37.5724979
b67d7e8f-1200-4a69-8d60-b09ef68526b1,Фонвизинская,10,55.8221529,37.5885914
48be3bb9-b939-4b5a-be4b-a96be6b7b008,Бутырская,10,55.8138118,37.5997818
cb8e3bd5-5772-4879-8c21-dd0c5a4da52f,Марьина Роща,10,55.7934688,37.6143612
3bc1d798-88ab-4202-9f23-a499e20bc36a,Достоевская,10,55.7809553,37.6176103
c66e888d-191d-46f1-8ae7-3cb2b117e8ce,Римская,10,55.7465359,37.6815138
c48e4c11-ddc0-4a86-851b-8865c19c6325,Дубровка,10,55.7179309,37.6764364
d5c3357a-d5af-4ef1-a114-4b894fcd6115,Кожуховская,10,55.7053548,37.686241
7b138124-ca7f-4c8f-9406-4df44238ee72,Печатники,10,55.6922895,37.7294278
56b6a874-2553-4283-abfe-8d7be3f24543,Волжская,10,55.6903349,37.7556475
fe4993d5-5206-44a6-a97f-82da53ea1af4,Люблино,10,55.6744985,37.7615875
3fdabf02-0848-46ea-abe5-0610b67e10c4,Братиславская,10,55.6598236,37.7518654
34a14f64-1739-4db8-b593-716440331358,Марьино,10,55.6418311,37.7504074
fd6ab132-b3c1-4d89-a5c0-3d036daa5e62,Борисово,10,55.6321803,37.7434094
9f36283d-c441-4904-b76d-ffb092fe8d19,Шипиловская,10,55.6203072,37.7435426
09ef8a21-8597-4ca0-9cb3-b09074fbe768,Зябликово,10,55.6105965,37.7455727
7af23fc2-54c5-40e8-9b89-361b50eab5cb,Шелепиха,111,55.7583223,37.5227563
d2e655d7-7fde-4ce4-baff-d2cc1fbb398c,Петровский парк,11,55.7929154,37.559067
354e7779-e617-4af1-ad61-44f953b35a79,ЦСКА,11,55.78624,37.53663
750466e8-b98e-46ea-9855-184bde644532,Хорошёвская,11,55.7770435,37.5220454
0068d8d2-ecc0-4b35-a3da-da1a8f412d42,Народное Ополчение,11,55.7753612,37.4846204
adb607b7-1551-43ac-b27a-07ce5601d7fa,Мнёвники,11,55.7606593,37.4719406
95e49aa8-f698-4941-90d1-2d364c60b2cf,Терехово,11,55.7480166,37.4602461
41f26e84-13da-4991-bafd-1f12af61aa51,Кунцевская,11,55.7312303,37.4471314
80ecdf29-b578-42a3-9d12-0865a232556e,Давыдково,11,55.714618,37.4525092
345257c9-c48c-4060-af50-9239fe6e1865,Аминьевская,11,55.6964158,37.4648461
3dc51cb9-c127-4c74-b278-716c9c364279,Мичуринский проспект,11,55.6887495,37.4821084
444b7070-567f-43d7-ae0b-01aa7711053f,Проспект Вернадского,11,55.679444849999996,37.50992016693316
bab2d079-4216-40dd-b3a8-3c722648544f,Новаторская,11,55.6691895,37.5179543
3ce5432b-eb5d-4108-aeba-d32a9828f67b,Зюзино,11,55.6570361,37.5718666
81a5a9c8-0cec-4587-a054-c79fe65d3d3a,Каховская,11,55.6536252,37.6054104
041520f2-fc7e-44eb-806c-3905617bfe40,Варшавская,110,55.6535973,37.6198334
b3532e54-5082-4adb-a687-a064070271d9,Каширская,110,55.6546073,37.6474247
d7c775be-18d4-4753-8b6b-0b0766f41cb3,Битцевский парк,12,55.5992361,37.5542283
82b80c93-6c3f-4914-893b-64ae0f92675d,Лесопарковая,12,55.5822879,37.5773254
4964854e-3243-44c9-a477-be8491d01862,Улица Скобелевская,12,55.5475152,37.5504233
a54eca27-4fbc-458a-ae8f-c2ce7417d61b,Бульвар Адмирала Ушакова,12,55.5466175,37.5439795
3b0b0c79-6f7c-4b78-a10a-adea2cfa2c5a,Улица Горчакова,12,55.5419227,37.5328119
d498903a-1795-44a2-ab88-b49d0a38b369,Бунинская аллея,12,55.5376042,37.5139914
5cd7a63e-23ab-4d48-80a6-4912069f2380,Тимирязевская,13,55.8184418,37.5809098
d475c8ea-f3ea-4304-80f1-02a41156dc31,Окружная,14,55.8443213,37.5760757
f6f5062c-f9e2-4f54-ac2c-4667eb80aa5d,Владыкино,14,55.848926,37.5895296
b5010fd0-c6b5-49b4-b2df-667fd1eff26c,Ботанический сад,14,55.8463738,37.6381879
71d3e8f5-d33b-4897-a9e7-08b20de84ab3,Бульвар Рокоссовского,14,55.8151866,37.7328849
89bef1ac-f634-4e98-ba45-72296f29c51e,Шоссе Энтузиастов,14,55.7578254,37.7520917
d891c4d8-0ceb-4574-9cff-613249fbc0fe,Нижегородская,14,55.730852,37.730603
35daa319-a6b3-4742-b2c1-f1d59cb28a35,Дубровка,14,55.7179309,37.6764364
71e1398c-ad8d-4504-9aec-d598fe5897aa,Автозаводская,14,55.7089044,37.6577411
c2fc3c97-a558-4be9-b8ac-c510c4b41c1b,Кутузовская,14,55.739669,37.5342963
a814fb39-3be8-4d13-9fb7-9e79fd1ccf9e,Шелепиха,14,55.7583223,37.5227563
2da5877a-d701-4141-a90f-2881916a3a5a,Лихоборы,14,55.8546309,37.5602162
