id,source,offer,latitude,longitude,setting,area,object_type,floor,floors,rooms,metro_id,metro_remoteness,material,segment,kitchen,balcony,renovation,additions,price,price_per_metre
7ee34857-610d-4829-9dfa-08234314c9fa,cian.ru,Актуально,55.810602,37.617384,Жилое помещение (квартира),22.8,Встроенное помещение,2,10,студия,Бутырская,23.0,монолитно-кирпичный,0,0.0,Нет,дизайнерский,-,6250000,274122.8070175439
93ab56d0-b479-4355-afd0-61149cfffa29,cian.ru,Актуально,55.654152,37.716404,Жилое помещение (квартира),21.9,Встроенное помещение,2,2,студия,Метро отсутсвует,20000.0,панельный,0,0.0,Нет,евро,-,4313917,196982.51141552514
512536e0-3729-49a4-abdc-4bd7a85318b9,cian.ru,Актуально,55.72349,37.68616,Жилое помещение (квартира),31.3,Встроенное помещение,5,23,студия,Волгоградский проспект,1.0,монолитный,0,0.0,Нет,Информация неизвестна,-,7163235,228857.3482428115
eca54cee-efb2-4bd6-b4e7-001c0c2f692b,cian.ru,Актуально,55.680316,37.527265,Жилое помещение (квартира),14.0,Встроенное помещение,1,8,студия,Проспект Вернадского,21.0,кирпичный,0,0.0,Нет,евро,-,4200000,300000.0
f3dbfbe7-08b8-4f4b-9929-b73f39598a27,cian.ru,Актуально,55.85073,37.62305,Жилое помещение (квартира),25.1,Встроенное помещение,5,18,студия,Ботанический сад,21.0,монолитный,0,0.0,Нет,Информация неизвестна,-,6672656,265842.8685258964
59c86a67-beaa-4da8-bfab-58ba89719418,cian.ru,Актуально,55.81913,37.42223,Жилое помещение (квартира),25.5,Встроенное помещение,15,25,студия,Спартак,17.0,монолитно-кирпичный,0,0.0,Нет,Информация неизвестна,-,12816417,502604.5882352941
1b51d1da-55f1-43fa-9c92-6e6016987202,cian.ru,Актуально,55.820971,37.521102,Жилое помещение (квартира),13.5,Встроенное помещение,2,7,студия,Войковская,26.0,монолитный,0,0.0,Нет,косметический,-,3500000,259259.25925925927
62834551-0ffb-460c-a289-23b9d84f14b8,cian.ru,Актуально,55.687208,37.856991,Жилое помещение (квартира),29.3,Встроенное помещение,4,5,студия,Жулебино,6.0,монолитный,2022,0.0,Нет,дизайнерский,-,6400000,218430.03412969282
d472f4ee-3050-4427-86f7-341d0f2bfbf4,cian.ru,Актуально,55.69463,37.46309,Жилое помещение (квартира),25.5,Встроенное помещение,22,33,студия,Аминьевская,4.0,монолитный,0,0.0,Нет,Информация неизвестна,-,7115486,279038.6666666667
c4bfe08d-d756-4edc-860f-ab657b47f19c,cian.ru,Актуально,55.777013,37.732512,Жилое помещение (квартира),15.3,Встроенное помещение,2,3,студия,Соколиная Гора,20.0,кирпичный,0,0.0,Нет,дизайнерский,-,4316895,282150.0
ff65161b-7e11-4f98-ab32-bed81c614621,cian.ru,Актуально,55.782349,37.835944,Жилое помещение (квартира),16.0,Встроенное помещение,1,9,студия,Метро отсутсвует,20000.0,панельный,1977,0.0,Нет,косметический,-,3500001,218750.0625
1475de13-9fb4-494c-8d2f-a832eeae86fd,cian.ru,Актуально,55.805842,37.794774,Жилое помещение (квартира),17.0,Встроенное помещение,1,5,студия,Щёлковская,13.0,кирпичный,1958,0.0,Нет,косметический,-,2660000,156470.58823529413
a2f2b539-14a5-4230-b128-da0b4d572040,cian.ru,Актуально,55.805816,37.793355,Жилое помещение (квартира),20.1,Встроенное помещение,1,5,студия,Щёлковская,14.0,кирпичный,1958,0.0,Нет,косметический,-,2990000,148756.21890547263
5b264bbf-9dcb-4487-a06f-e332db0a86c6,cian.ru,Актуально,55.736057,37.661338,Жилое помещение (квартира),15.0,Встроенное помещение,1,5,студия,Крестьянская застава,10.0,монолитно-кирпичный,1929,0.0,Нет,косметический,-,1790000,119333.33333333333
a15f5320-71c0-46af-92fa-50b00eb868c4,cian.ru,Актуально,55.744019069019,37.705688,Жилое помещение (квартира),11.0,Встроенное помещение,1,4,студия,Авиамоторная,26.0,кирпичный,1927,0.0,Нет,дизайнерский,-,3300000,300000.0
248e7e94-3b15-4157-968c-e255b51fd2e1,cian.ru,Актуально,55.56425,37.29206,Жилое помещение (квартира),21.0,Встроенное помещение,6,14,студия,Метро отсутсвует,20000.0,монолитный,0,0.0,Да,Информация неизвестна,-,5298720,252320.0
742c362b-ac2e-4d56-a88c-5a65de6fa3a2,cian.ru,Актуально,55.818,37.74954,Жилое помещение (квартира),30.2,Встроенное помещение,10,19,студия,Бульвар Рокоссовского,21.0,монолитный,0,0.0,Нет,Информация неизвестна,-,10107940,334700.0
5a710f76-c5de-4949-bc25-8f1ff5db0066,cian.ru,Актуально,55.76447,37.478738,Жилое помещение (квартира),27.5,Встроенное помещение,5,16,студия,Мнёвники,12.0,панельный,0,0.0,Да,косметический,-,4860000,176727.27272727274
f6caf323-106f-4d9b-9b6d-9e80c204977f,cian.ru,Актуально,55.850348,37.505714,Жилое помещение (квартира),10.0,Встроенное помещение,1,9,студия,Коптево,29.0,кирпичный,1968,0.0,Нет,требует ремонта,-,3000000,300000.0
5dd3b921-dd4b-44ab-bf9a-4d6926e12e99,cian.ru,Актуально,55.850479,37.537955,Жилое помещение (квартира),15.0,Встроенное помещение,2,5,студия,Лихоборы,29.0,кирпичный,0,0.0,Нет,дизайнерский,-,3999999,266666.6
be151a7e-d953-4c17-945a-272593242d78,cian.ru,Актуально,55.606416,37.665686,Жилое помещение (квартира),30.1,Встроенное помещение,2,11,студия,Метро отсутсвует,20000.0,монолитно-кирпичный,2016,0.0,Нет,требует ремонта,-,6300000,209302.32558139533
655881e4-ee25-445f-9b71-4d7f0bf3496c,cian.ru,Актуально,55.820971,37.521102,Жилое помещение (квартира),40.0,Встроенное помещение,3,7,студия,Войковская,26.0,кирпичный,0,0.0,Нет,евро,-,6520000,163000.0
213d4062-6170-47b1-916c-5d82319c4233,cian.ru,Актуально,55.800418,37.795268,Жилое помещение (квартира),15.0,Встроенное помещение,3,5,студия,Первомайская,16.0,кирпичный,1953,0.0,Нет,дизайнерский,-,3600000,240000.0
8859536e-3225-44c3-bafc-4f4eb8385dc0,cian.ru,Актуально,55.708967,37.925245,Жилое помещение (квартира),14.5,Встроенное помещение,1,17,студия,Некрасовка,14.0,панельный,2012,0.0,Нет,требует ремонта,-,4000000,275862.0689655172
4b3bb025-4334-4ae3-b103-4855e6361b05,cian.ru,Актуально,55.811133,37.514688,Жилое помещение (квартира),19.3,Встроенное помещение,10,14,студия,Сокол,13.0,панельный,0,0.0,Нет,дизайнерский,-,6755000,350000.0
6af57fae-0e18-4ddd-b90f-5d8dc436a4ac,cian.ru,Актуально,55.812221,37.632368,Жилое помещение (квартира),25.9,Встроенное помещение,3,4,студия,Алексеевская,10.0,кирпичный,0,0.0,Нет,дизайнерский,-,6475000,250000.0
cb687f87-92cd-4bd9-9c4e-08bc964ca26f,cian.ru,Актуально,55.635523,37.518003,Жилое помещение (квартира),13.3,Встроенное помещение,1,9,студия,Коньково,2.0,панельный,1968,0.0,Да,косметический,-,4000000,300751.8796992481
e7b9c6b7-9f8b-4820-bf42-c772c69c20b4,cian.ru,Актуально,55.692886,37.586913,Жилое помещение (квартира),20.0,Встроенное помещение,3,4,студия,Академическая,17.0,кирпичный,2000,0.0,Нет,дизайнерский,-,7000000,350000.0
08039539-ce9d-4507-9aaf-27cb509f5a32,cian.ru,Актуально,55.886998,37.667438,Жилое помещение (квартира),15.0,Встроенное помещение,1,9,студия,Медведково,7.0,панельный,1969,0.0,Да,требует ремонта,-,3750000,250000.0
53f40df8-6e3b-41cd-999a-b991e7bff940,cian.ru,Актуально,55.812221,37.632368,Жилое помещение (квартира),27.0,Встроенное помещение,3,4,студия,Алексеевская,10.0,кирпичный,0,0.0,Нет,дизайнерский,-,6750000,250000.0
3a2dfaa6-41bd-445f-b66e-2be439734e2d,cian.ru,Актуально,55.647214,37.327623,Жилое помещение (квартира),32.0,Встроенное помещение,1,2,студия,Метро отсутсвует,20000.0,монолитно-кирпичный,2010,0.0,Нет,косметический,-,4700000,146875.0
267f41d9-2a4c-4d9b-ad1f-d45f240290a4,cian.ru,Актуально,55.738731,37.658913,Жилое помещение (квартира),10.4,Встроенное помещение,4,4,студия,Марксистская,6.0,кирпичный,0,0.0,Нет,косметический,-,4800000,461538.4615384615
7d5049c7-2284-4549-b673-b1699b864d4d,cian.ru,Актуально,55.654335,37.557915,Жилое помещение (квартира),15.0,Встроенное помещение,2,10,студия,Зюзино,18.0,монолитно-кирпичный,2005,0.0,Нет,дизайнерский,-,3790000,252666.66666666666
d5d079c7-c41c-4015-8dc2-9002699a8881,cian.ru,Актуально,55.777013,37.732512,Жилое помещение (квартира),20.0,Встроенное помещение,1,2,студия,Соколиная Гора,20.0,монолитно-кирпичный,0,0.0,Нет,дизайнерский,-,4090000,204500.0
1b2cfc80-66fb-4a9e-ab3e-0090292f1fd5,cian.ru,Актуально,55.791653,37.491251,Жилое помещение (квартира),11.0,Встроенное помещение,1,9,студия,Октябрьское Поле,3.0,панельный,1968,0.0,Нет,требует ремонта,-,3800000,345454.54545454547
f59a55d3-e0ab-4405-b21f-0dc326ee8f1d,cian.ru,Актуально,55.769818,37.64807,Жилое помещение (квартира),17.0,Встроенное помещение,3,8,студия,Красные Ворота,1.0,кирпичный,0,0.0,Нет,требует ремонта,-,7300000,429411.76470588235
09c1f473-dc2d-432f-932c-96308992b15c,cian.ru,Актуально,55.628601,37.648214,Жилое помещение (квартира),28.2,Встроенное помещение,5,16,студия,Кантемировская,20.0,панельный,0,0.0,Да,косметический,-,4950000,175531.91489361704
64d71efc-f02a-48f4-988c-91366c51a40a,cian.ru,Актуально,55.88705829769004,37.66630074337768,Жилое помещение (квартира),15.0,Встроенное помещение,1,9,студия,Медведково,5.0,панельный,1969,0.0,Да,требует ремонта,-,3750000,250000.0
0a0f0e1a-1b21-4d06-9945-ab5c44801d1f,cian.ru,Актуально,55.707284,37.809965,Жилое помещение (квартира),28.9,Встроенное помещение,11,12,студия,Юго-Восточная,6.0,панельный,0,0.0,Да,евро,-,5700000,197231.83391003462
5da5713c-fda7-4918-93a6-51f6acdfd142,cian.ru,Актуально,55.892001,37.600388,Жилое помещение (квартира),28.9,Встроенное помещение,9,12,студия,Бибирево,19.0,панельный,0,0.0,Да,косметический,-,6290000,217647.05882352943
ee3f9f6b-18c1-4ad6-8b26-660d5e898b45,cian.ru,Актуально,55.654152,37.716404,Жилое помещение (квартира),22.5,Встроенное помещение,2,2,студия,Метро отсутсвует,20000.0,панельный,0,0.0,Нет,евро,-,4432107,196982.53333333333
75873617-fb28-4b82-83fa-28c776c1e6c6,cian.ru,Актуально,55.866177,37.614428,Жилое помещение (квартира),22.7,Встроенное помещение,1,9,студия,Отрадное,13.0,панельный,1975,0.0,Да,требует ремонта,-,4650293,204858.72246696035
afb7f055-eeaf-4ea0-949c-86248bf62c7a,cian.ru,Актуально,55.8106,37.617378,Жилое помещение (квартира),23.0,Встроенное помещение,4,5,студия,Бутырская,23.0,блочный,0,0.0,Нет,дизайнерский,-,6749000,293434.7826086957
7d998add-7ab6-42c7-a1ff-a97cce207a8d,cian.ru,Актуально,55.70386,37.652688,Жилое помещение (квартира),18.0,Встроенное помещение,2,5,студия,Автозаводская,12.0,кирпичный,0,0.0,Нет,косметический,-,4500000,250000.0
06b363cd-dd36-4bf3-83a3-4a95ef8353a2,cian.ru,Актуально,55.64032,37.530858,Жилое помещение (квартира),19.1,Встроенное помещение,1,17,студия,Беляево,12.0,панельный,1986,0.0,Нет,дизайнерский,-,6290000,329319.37172774866
